Date,Hour,Temperature,RainProb,WindSpeed,HeavyWeather
2024-05-11,16.0,13.37,0.0,9.18,0
2024-05-11,17.0,12.48,0.0,8.82,0
2024-05-11,18.0,11.7,0.0,8.46,0
2024-05-11,19.0,10.87,0.0,7.56,0
2024-05-11,20.0,10.42,0.0,6.876,0
2024-05-11,21.0,10.81,0.0,5.076,0
2024-05-11,22.0,11.39,0.0,3.06,0
2024-05-11,23.0,13.14,0.0,1.584,0
2024-05-12,0.0,16.06,0.0,2.7,0
2024-05-12,1.0,18.4,0.0,6.803999999999999,0
2024-05-12,2.0,20.24,0.0,10.62,0
2024-05-12,3.0,21.64,0.0,12.420000000000002,0
2024-05-12,4.0,22.69,0.0,13.968,0
2024-05-12,5.0,23.32,0.0,14.436,0
2024-05-12,6.0,23.52,0.0,15.624,0
2024-05-12,7.0,23.07,0.0,15.768,0
2024-05-12,8.0,22.36,0.0,15.012,0
2024-05-12,9.0,20.85,0.0,13.644,0
2024-05-12,10.0,19.29,0.0,12.888,0
2024-05-12,11.0,18.34,0.0,12.528,0
2024-05-12,12.0,17.36,0.0,12.348,0
2024-05-12,13.0,16.53,0.0,13.176,0
2024-05-12,14.0,15.8,0.0,13.032,0
2024-05-12,15.0,15.11,0.0,13.032,0
2024-05-12,16.0,14.53,0.0,12.888,0
2024-05-12,17.0,14.11,0.0,13.068,0
2024-05-12,18.0,13.64,0.0,11.376,0
2024-05-12,19.0,13.46,0.0,10.908,0
2024-05-12,20.0,13.07,0.0,10.188,0
2024-05-12,21.0,13.08,0.0,10.764,0
2024-05-12,22.0,13.17,0.0,10.908,0
2024-05-12,23.0,15.32,0.0,10.836,0
2024-05-13,0.0,17.67,0.0,13.752,0
2024-05-13,1.0,19.37,0.0,14.508,0
2024-05-13,2.0,20.77,0.0,16.56,0
2024-05-13,3.0,21.95,0.0,18.648,0
2024-05-13,4.0,22.64,0.0,18.9,0
2024-05-13,5.0,23.07,0.0,19.836,0
2024-05-13,6.0,23.11,0.0,21.888,0
2024-05-13,7.0,22.73,0.0,22.248,0
2024-05-13,8.0,21.56,0.0,19.26,0
2024-05-13,9.0,19.7,0.0,17.1,0
2024-05-13,10.0,18.82,0.0,16.740000000000002,0
2024-05-13,11.0,18.15,0.0,16.668,0
2024-05-13,12.0,17.61,0.0,16.668,0
2024-05-13,13.0,16.95,0.0,15.48,0
2024-05-13,14.0,16.15,0.0,15.444,0
2024-05-13,15.0,15.74,0.0,14.868,0
2024-05-13,16.0,15.05,0.0,14.76,0
2024-05-13,17.0,14.85,0.0,13.896,0
2024-05-13,18.0,14.49,0.0,13.248,0
2024-05-13,19.0,14.29,0.0,13.536,0
2024-05-13,20.0,13.93,0.0,13.068,0
2024-05-13,21.0,13.62,0.0,12.528,0
2024-05-13,22.0,13.66,0.0,11.844,0
2024-05-13,23.0,15.49,0.0,13.824,0
2024-05-14,0.0,17.57,0.0,16.308,0
2024-05-14,1.0,18.77,0.0,16.92,0
2024-05-14,2.0,19.98,0.0,17.532,0
2024-05-14,3.0,21.18,0.0,18.144,0
2024-05-14,4.0,21.86,0.0,17.676000000000002,0
2024-05-14,5.0,22.53,0.0,17.244,0
2024-05-14,6.0,23.21,0.0,16.776,0
2024-05-14,7.0,22.12,0.0,16.92,0
2024-05-14,8.0,21.03,0.0,17.1,0
2024-05-15,7.0,24.88,0.0,8.568,0
2024-05-15,8.0,24.11,0.0,10.512,0
2024-05-15,9.0,22.59,0.0,10.008,0
2024-05-15,10.0,21.35,0.0,11.844,0
2024-05-15,11.0,20.24,0.0,12.492,0
2024-05-15,12.0,19.19,0.0,11.988,0
2024-05-15,13.0,18.36,0.0,11.664,0
2024-05-15,14.0,17.56,0.0,12.204,0
2024-05-15,15.0,16.83,0.0,12.348,0
2024-05-15,16.0,16.22,0.0,13.5,0
2024-05-15,17.0,15.5,0.0,12.78,0
2024-05-15,18.0,14.58,0.0,10.548,0
2024-05-15,19.0,13.71,0.0,8.712,0
2024-05-15,20.0,12.91,0.0,7.272,0
2024-05-15,21.0,12.81,0.0,9.36,0
2024-05-15,22.0,13.05,0.0,8.424,0
2024-05-15,23.0,15.87,0.0,6.732,0
2024-05-16,0.0,18.87,0.0,8.64,0
2024-05-16,1.0,21.32,0.0,10.476,0
2024-05-16,2.0,23.02,0.0,9.108,0
2024-05-16,3.0,24.19,0.0,7.056,0
2024-05-16,4.0,25.05,0.0,6.768,0
2024-05-16,5.0,25.0,0.0,9.468,0
2024-05-16,6.0,25.36,0.0,10.116,0
2024-05-16,7.0,25.08,0.0,11.520000000000001,0
2024-05-16,8.0,24.27,0.0,12.78,0
2024-05-16,9.0,22.8,0.0,11.628,0
2024-05-16,10.0,21.56,0.0,11.196,0
2024-05-16,11.0,20.39,0.0,10.656,0
2024-05-16,12.0,19.19,0.0,10.188,0
2024-05-16,13.0,18.33,0.0,11.16,0
2024-05-16,14.0,17.92,0.0,13.284,0
2024-05-16,15.0,17.68,0.0,17.964000000000002,0
2024-05-16,16.0,17.28,0.0,19.836,0
2024-05-16,17.0,16.64,0.0,17.676000000000002,0
2024-05-16,18.0,16.13,0.0,16.776,0
2024-05-16,19.0,15.72,0.0,16.056,0
2024-05-16,20.0,15.17,0.0,13.932,0
2024-05-16,21.0,14.67,0.0,12.636,0
2024-05-16,22.0,14.67,0.0,12.708,0
2024-05-16,23.0,16.82,0.0,10.584,0
2024-05-17,0.0,19.43,0.0,17.964000000000002,0
2024-05-17,1.0,21.31,0.0,19.98,0
2024-05-17,2.0,23.0,0.0,19.764000000000003,0
2024-05-17,3.0,24.18,0.0,19.548,0
2024-05-17,4.0,24.87,0.0,19.152,0
2024-05-17,5.0,25.04,0.0,19.728,0
2024-05-17,6.0,24.85,0.0,19.908,0
2024-05-17,7.0,24.37,0.0,19.692,0
2024-05-17,8.0,23.5,0.0,18.756,0
2024-05-17,9.0,22.18,0.0,13.824,0
2024-05-17,10.0,21.01,0.0,12.996,0
